id,category,difficulty,points,question,answer,acceptableAnswers,sourceNote
WV_030,Wordplay & Vocabulary,hard,500,The opposite of victory.,defeat,defeat,Dictionary reference
WV_031,Wordplay & Vocabulary,easy,100,A synonym for quick.,fast,fast,Dictionary reference
WV_032,Wordplay & Vocabulary,easy-medium,200,A synonym for happy.,joyful,joyful,Dictionary reference
WV_033,Wordplay & Vocabulary,medium,300,A synonym for tiny.,small,small,Dictionary reference
WV_034,Wordplay & Vocabulary,medium-hard,400,A synonym for begin.,start,start,Dictionary reference
WV_035,Wordplay & Vocabulary,hard,500,A synonym for brave.,courageous,courageous,Dictionary reference
WV_036,Wordplay & Vocabulary,easy,100,"The words to, too, two are examples of these.",homophones,homophones,Dictionary reference
WV_037,Wordplay & Vocabulary,easy-medium,200,"The words there, their, they're are examples of these.",homophones,homophones,Dictionary reference
WV_038,Wordplay & Vocabulary,medium,300,The words flower and flour are examples of these.,homophones,homophones,Dictionary reference
WV_039,Wordplay & Vocabulary,medium-hard,400,The words knight and night are examples of these.,homophones,homophones,Dictionary reference
WV_040,Wordplay & Vocabulary,hard,500,The words sea and see are examples of these.,homophones,homophones,Dictionary reference
WV_041,Wordplay & Vocabulary,easy,100,This word reads the same backward and forward: LEVEL.,palindrome,palindrome,Wordplay reference
WV_042,Wordplay & Vocabulary,easy-medium,200,This word reads the same backward and forward: RADAR.,palindrome,palindrome,Wordplay reference
WV_043,Wordplay & Vocabulary,medium,300,This word reads the same backward and forward: CIVIC.,palindrome,palindrome,Wordplay reference
WV_044,Wordplay & Vocabulary,medium-hard,400,This word reads the same backward and forward: KAYAK.,palindrome,palindrome,Wordplay reference
WV_045,Wordplay & Vocabulary,hard,500,This word reads the same backward and forward: MADAM.,palindrome,palindrome,Wordplay reference
WV_046,Wordplay & Vocabulary,easy,100,This word reads the same backward and forward: REFER.,palindrome,palindrome,Wordplay reference
WV_047,Wordplay & Vocabulary,easy-medium,200,This word reads the same backward and forward: ROTOR.,palindrome,palindrome,Wordplay reference
WV_048,Wordplay & Vocabulary,medium,300,This word reads the same backward and forward: TENET.,palindrome,palindrome,Wordplay reference
WV_049,Wordplay & Vocabulary,medium-hard,400,This word reads the same backward and forward: MOM.,palindrome,palindrome,Wordplay reference
WV_050,Wordplay & Vocabulary,hard,500,This word reads the same backward and forward: WOW.,palindrome,palindrome,Wordplay reference
WV_051,Wordplay & Vocabulary,easy,100,"Adding the prefix ""un"" to ""happy"" creates this word.",unhappy,unhappy,Dictionary reference
WV_052,Wordplay & Vocabulary,easy-medium,200,"Adding the prefix ""im"" to ""possible"" creates this word.",impossible,impossible,Dictionary reference
WV_053,Wordplay & Vocabulary,medium,300,"Adding the prefix ""il"" to ""legal"" creates this word.",illegal,illegal,Dictionary reference
WV_054,Wordplay & Vocabulary,medium-hard,400,"Adding the prefix ""ir"" to ""regular"" creates this word.",irregular,irregular,Dictionary reference
WV_055,Wordplay & Vocabulary,hard,500,"Adding the prefix ""re"" to ""build"" creates this word.",rebuild,rebuild,Dictionary reference
WV_056,Wordplay & Vocabulary,easy,100,"Adding the prefix ""pre"" to ""heat"" creates this word.",preheat,preheat,Dictionary reference
WV_057,Wordplay & Vocabulary,easy-medium,200,"Adding the prefix ""preview"" to ""view"" creates this word.",preview,preview,Dictionary reference
WV_058,Wordplay & Vocabulary,medium,300,"Adding the prefix ""dis"" to ""appear"" creates this word.",disappear,disappear,Dictionary reference
WV_059,Wordplay & Vocabulary,medium-hard,400,"Adding the prefix ""mis"" to ""understand"" creates this word.",misunderstand,misunderstand,Dictionary reference
WV_060,Wordplay & Vocabulary,hard,500,"Adding the prefix ""pre"" to ""paid"" creates this word.",prepaid,prepaid,Dictionary reference
WV_061,Wordplay & Vocabulary,easy,100,"This idiom means ""start a friendly conversation"".",break the ice,break the ice,Idiom reference
WV_062,Wordplay & Vocabulary,easy-medium,200,"This idiom means ""study"".",hit the books,hit the books,Idiom reference
WV_063,Wordplay & Vocabulary,medium,300,"This idiom means ""something easy"".",piece of cake,piece of cake,Idiom reference
WV_064,Wordplay & Vocabulary,medium-hard,400,"This idiom means ""reveal a secret"".",spill the beans,spill the beans,Idiom reference
WV_065,Wordplay & Vocabulary,hard,500,"This idiom means ""feeling sick"".",under the weather,under the weather,Idiom reference
WV_066,Wordplay & Vocabulary,easy,100,"This idiom means ""is very expensive"".",costs an arm and a leg,costs an arm and a leg,Idiom reference
WV_067,Wordplay & Vocabulary,easy-medium,200,"This idiom means ""rarely"".",once in a blue moon,once in a blue moon,Idiom reference
WV_068,Wordplay & Vocabulary,medium,300,"This idiom means ""it is your turn to act"".",the ball is in your court,the ball is in your court,Idiom reference
WV_069,Wordplay & Vocabulary,medium-hard,400,"This idiom means ""stop yourself from speaking"".",bite your tongue,bite your tongue,Idiom reference
WV_070,Wordplay & Vocabulary,hard,500,"This idiom means ""very happy"".",on cloud nine,on cloud nine,Idiom reference
WV_071,Wordplay & Vocabulary,easy,100,A sentence that asks something ends with this punctuation mark.,question mark,question mark,Grammar reference
WV_072,Wordplay & Vocabulary,easy-medium,200,A sentence showing strong feeling often ends with this mark.,exclamation point,exclamation point,Grammar reference
WV_073,Wordplay & Vocabulary,medium,300,This punctuation mark separates items in a list.,comma,comma,Grammar reference
WV_074,Wordplay & Vocabulary,medium-hard,400,This punctuation mark can join two related independent clauses.,semicolon,semicolon,Grammar reference
WV_075,Wordplay & Vocabulary,hard,500,This punctuation mark shows possession in words like Ava's.,apostrophe,apostrophe,Grammar reference
WV_076,Wordplay & Vocabulary,easy,100,This is the plural of child.,children,children,Grammar reference
WV_077,Wordplay & Vocabulary,easy-medium,200,This is the plural of mouse.,mice,mice,Grammar reference
WV_078,Wordplay & Vocabulary,medium,300,This is the past tense of run.,ran,ran,Grammar reference
WV_079,Wordplay & Vocabulary,medium-hard,400,This is the past tense of write.,wrote,wrote,Grammar reference
WV_080,Wordplay & Vocabulary,hard,500,This is the comparative form of good.,better,better,Grammar reference
WV_081,Wordplay & Vocabulary,easy,100,This is the superlative form of good.,best,best,Grammar reference
WV_082,Wordplay & Vocabulary,easy-medium,200,This is the comparative form of bad.,worse,worse,Grammar reference
WV_083,Wordplay & Vocabulary,medium,300,This is the superlative form of bad.,worst,worst,Grammar reference
WV_084,Wordplay & Vocabulary,medium-hard,400,A group of lines in a poem is called this.,stanza,stanza,Grammar reference
WV_085,Wordplay & Vocabulary,hard,500,A word created by blending smoke and fog is this.,smog,smog,Grammar reference
WV_086,Wordplay & Vocabulary,easy,100,A word created by blending breakfast and lunch is this.,brunch,brunch,Grammar reference
WV_087,Wordplay & Vocabulary,easy-medium,200,A word created from web and log is this.,blog,blog,Grammar reference
WV_088,Wordplay & Vocabulary,medium,300,The study of word origins is called this.,etymology,etymology,Grammar reference
WV_089,Wordplay & Vocabulary,medium-hard,400,A word with more than one meaning is called this.,polyseme,polyseme,Grammar reference
WV_090,Wordplay & Vocabulary,hard,500,A very long sentence joined by many conjunctions is often called this type of sentence.,run-on sentence,run-on sentence,Grammar reference
WV_091,Wordplay & Vocabulary,easy,100,The main noun or pronoun a sentence is about is the subject; the action or description is this.,predicate,predicate,Grammar reference
WV_092,Wordplay & Vocabulary,easy-medium,200,The direct object receives the action of this part of speech.,verb,verb,Grammar reference
WV_093,Wordplay & Vocabulary,medium,300,"The words a, an, and the are called these.",articles,articles,Grammar reference
WV_094,Wordplay & Vocabulary,medium-hard,400,"The word ""and"" is this part of speech.",conjunction,conjunction,Grammar reference
WV_095,Wordplay & Vocabulary,hard,500,"The word ""quickly"" is this part of speech.",adverb,adverb,Grammar reference
WV_096,Wordplay & Vocabulary,easy,100,"The word ""blue"" in ""blue car"" is this part of speech.",adjective,adjective,Grammar reference
WV_097,Wordplay & Vocabulary,easy-medium,200,"The word ""they"" is this part of speech.",pronoun,pronoun,Grammar reference
WV_098,Wordplay & Vocabulary,medium,300,"The word ""during"" is this part of speech.",preposition,preposition,Grammar reference
WV_099,Wordplay & Vocabulary,medium-hard,400,"The word ""wow"" is this part of speech.",interjection,interjection,Grammar reference
WV_100,Wordplay & Vocabulary,hard,500,A word that names a specific person or place is this type of noun.,proper noun,proper noun,Grammar reference
MI_001,Music & Instruments,easy,100,This instrument belongs mainly to the string family.,violin,violin,Music education reference
MI_002,Music & Instruments,easy-medium,200,This instrument belongs mainly to the string family.,cello,cello,Music education reference
MI_003,Music & Instruments,medium,300,This instrument belongs mainly to the string family.,guitar,guitar,Music education reference
MI_004,Music & Instruments,medium-hard,400,This instrument belongs mainly to the string family.,harp,harp,Music education reference
MI_005,Music & Instruments,hard,500,This instrument belongs mainly to the brass family.,trumpet,trumpet,Music education reference
MI_006,Music & Instruments,easy,100,This instrument belongs mainly to the brass family.,trombone,trombone,Music education reference
MI_007,Music & Instruments,easy-medium,200,This instrument belongs mainly to the brass family.,tuba,tuba,Music education reference
MI_008,Music & Instruments,medium,300,This instrument belongs mainly to the brass family.,French horn,French horn,Music education reference
MI_009,Music & Instruments,medium-hard,400,This instrument belongs mainly to the woodwind family.,flute,flute,Music education reference
MI_010,Music & Instruments,hard,500,This instrument belongs mainly to the woodwind family.,clarinet,clarinet,Music education reference
MI_011,Music & Instruments,easy,100,This instrument belongs mainly to the woodwind family.,oboe,oboe,Music education reference
MI_012,Music & Instruments,easy-medium,200,This instrument belongs mainly to the woodwind family.,bassoon,bassoon,Music education reference
MI_013,Music & Instruments,medium,300,This instrument belongs mainly to the woodwind family.,saxophone,saxophone,Music education reference
MI_014,Music & Instruments,medium-hard,400,This instrument belongs mainly to the percussion family.,snare drum,snare drum,Music education reference
MI_015,Music & Instruments,hard,500,This instrument belongs mainly to the percussion family.,timpani,timpani,Music education reference
MI_016,Music & Instruments,easy,100,This instrument belongs mainly to the percussion family.,xylophone,xylophone,Music education reference
MI_017,Music & Instruments,easy-medium,200,This instrument belongs mainly to the keyboard family.,piano,piano,Music education reference
MI_018,Music & Instruments,medium,300,This instrument belongs mainly to the keyboard family.,organ,organ,Music education reference
MI_019,Music & Instruments,medium-hard,400,This instrument belongs mainly to the keyboard/free-reed family.,accordion,accordion,Music education reference
MI_020,Music & Instruments,hard,500,This instrument belongs mainly to the free-reed family.,harmonica,harmonica,Music education reference
MI_021,Music & Instruments,easy,100,This musical term means speed of music.,tempo,tempo,Music theory reference
MI_022,Music & Instruments,easy-medium,200,This musical term means pattern of beats.,rhythm,rhythm,Music theory reference
MI_023,Music & Instruments,medium,300,This musical term means main tune.,melody,melody,Music theory reference
MI_024,Music & Instruments,medium-hard,400,This musical term means notes sounding together.,harmony,harmony,Music theory reference
MI_025,Music & Instruments,hard,500,This musical term means loudness and softness.,dynamics,dynamics,Music theory reference
MI_026,Music & Instruments,easy,100,This musical term means highness or lowness of sound.,pitch,pitch,Music theory reference
MI_027,Music & Instruments,easy-medium,200,This musical term means gradually getting louder.,crescendo,crescendo,Music theory reference
MI_028,Music & Instruments,medium,300,This musical term means gradually getting softer.,decrescendo,decrescendo,Music theory reference
MI_029,Music & Instruments,medium-hard,400,This musical term means loud.,forte,forte,Music theory reference
MI_030,Music & Instruments,hard,500,This musical term means soft.,piano,piano,Music theory reference
MI_031,Music & Instruments,easy,100,This musical term means fast and lively.,allegro,allegro,Music theory reference
MI_032,Music & Instruments,easy-medium,200,This musical term means slow.,adagio,adagio,Music theory reference
MI_033,Music & Instruments,medium,300,This musical term means walking pace.,andante,andante,Music theory reference
MI_034,Music & Instruments,medium-hard,400,This musical term means short and detached.,staccato,staccato,Music theory reference
MI_035,Music & Instruments,hard,500,This musical term means smooth and connected.,legato,legato,Music theory reference
MI_036,Music & Instruments,easy,100,This musical term means a group of beats.,measure,measure,Music theory reference
MI_037,Music & Instruments,easy-medium,200,This musical term means line separating measures.,bar line,bar line,Music theory reference
MI_038,Music & Instruments,medium,300,This musical term means symbol showing pitch range.,clef,clef,Music theory reference
MI_039,Music & Instruments,medium-hard,400,This musical term means clef often used for higher notes.,treble clef,treble clef,Music theory reference
MI_040,Music & Instruments,hard,500,This musical term means clef often used for lower notes.,bass clef,bass clef,Music theory reference
MI_041,Music & Instruments,easy,100,This composer wrote the Fifth Symphony that begins with a famous four-note motif.,Ludwig van Beethoven,Ludwig van Beethoven,Music history reference
MI_042,Music & Instruments,easy-medium,200,This composer wrote The Four Seasons.,Antonio Vivaldi,Antonio Vivaldi,Music history reference
MI_043,Music & Instruments,medium,300,This composer wrote the opera The Magic Flute.,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Music history reference
MI_044,Music & Instruments,medium-hard,400,This composer wrote many fugues and the Brandenburg Concertos.,Johann Sebastian Bach,Johann Sebastian Bach,Music history reference
MI_045,Music & Instruments,hard,500,This composer wrote Swan Lake.,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,Music history reference
MI_046,Music & Instruments,easy,100,This composer wrote The Blue Danube.,Johann Strauss II,Johann Strauss II,Music history reference
MI_047,Music & Instruments,easy-medium,200,This composer wrote Clair de Lune.,Claude Debussy,Claude Debussy,Music history reference
MI_048,Music & Instruments,medium,300,This composer wrote The Planets.,Gustav Holst,Gustav Holst,Music history reference
MI_049,Music & Instruments,medium-hard,400,This composer wrote Rhapsody in Blue.,George Gershwin,George Gershwin,Music history reference
MI_050,Music & Instruments,hard,500,This composer wrote The Rite of Spring.,Igor Stravinsky,Igor Stravinsky,Music history reference
MI_051,Music & Instruments,easy,100,A group of singers performing together is called this.,choir,choir,Music education reference
MI_052,Music & Instruments,easy-medium,200,A large group of instrumental musicians is called this.,orchestra,orchestra,Music education reference
MI_053,Music & Instruments,medium,300,The person leading an orchestra is the this.,conductor,conductor,Music education reference
MI_054,Music & Instruments,medium-hard,400,A song for two performers is called this.,duet,duet,Music education reference
MI_055,Music & Instruments,hard,500,A song for three performers is called this.,trio,trio,Music education reference
MI_056,Music & Instruments,easy,100,A song for four performers is called this.,quartet,quartet,Music education reference
MI_057,Music & Instruments,easy-medium,200,The lowest common female singing voice is this.,alto,alto,Music education reference
MI_058,Music & Instruments,medium,300,The highest common female singing voice is this.,soprano,soprano,Music education reference
MI_059,Music & Instruments,medium-hard,400,The highest common male singing voice is this.,tenor,tenor,Music education reference
MI_060,Music & Instruments,hard,500,The lowest common male singing voice is this.,bass,bass,Music education reference
MI_061,Music & Instruments,easy,100,This Italian word means opera text.,libretto,libretto,Music education reference
MI_062,Music & Instruments,easy-medium,200,This type of song is a national symbol of a country.,anthem,anthem,Music education reference
MI_063,Music & Instruments,medium,300,This is the standard number of strings on a violin.,four,four,Music education reference
MI_064,Music & Instruments,medium-hard,400,This is the standard number of strings on a guitar.,six,six,Music education reference
MI_065,Music & Instruments,hard,500,This instrument is sometimes called the king of instruments in churches.,organ,organ,Music education reference
MI_066,Music & Instruments,easy,100,This instrument is played with a bow and held under the chin.,violin,violin,Music education reference
MI_067,Music & Instruments,easy-medium,200,This large string instrument is played upright between the knees.,cello,cello,Music education reference
MI_068,Music & Instruments,medium,300,This brass instrument uses a slide.,trombone,trombone,Music education reference
MI_069,Music & Instruments,medium-hard,400,This woodwind uses a double reed and often tunes the orchestra.,oboe,oboe,Music education reference
MI_070,Music & Instruments,hard,500,This percussion instrument has metal bars and is struck with mallets.,xylophone,xylophone,Music education reference
MI_071,Music & Instruments,easy,100,This music style is known for improvisation and swing feel.,jazz,jazz,Music genre reference
MI_072,Music & Instruments,easy-medium,200,This music style is known for 12-bar progressions and blue notes.,blues,blues,Music genre reference
MI_073,Music & Instruments,medium,300,This music style is known for offbeat rhythm associated with Jamaica.,reggae,reggae,Music genre reference
MI_074,Music & Instruments,medium-hard,400,"This music style is known for rapping, DJing, and beat-driven tracks.",hip hop,hip hop,Music genre reference
MI_075,Music & Instruments,hard,500,This music style is known for storytelling songs with roots in folk traditions.,country,country,Music genre reference
MI_076,Music & Instruments,easy,100,This music style is known for formal concert music tradition.,classical,classical,Music genre reference
MI_077,Music & Instruments,easy-medium,200,This music style is known for dramatic singing with orchestra.,opera,opera,Music genre reference
MI_078,Music & Instruments,medium,300,This music style is known for electric guitar-driven popular music.,rock,rock,Music genre reference
MI_079,Music & Instruments,medium-hard,400,This music style is known for dance music with a strong four-on-the-floor beat.,disco,disco,Music genre reference
MI_080,Music & Instruments,hard,500,This music style is known for Latin dance music with Afro-Caribbean roots.,salsa,salsa,Music genre reference
MI_081,Music & Instruments,easy,100,This music style is known for fast acoustic string-band style.,bluegrass,bluegrass,Music genre reference
MI_082,Music & Instruments,easy-medium,200,This music style is known for religious music with strong vocal tradition.,gospel,gospel,Music genre reference
MI_083,Music & Instruments,medium,300,This music style is known for traditional or acoustic storytelling music.,folk,folk,Music genre reference
MI_084,Music & Instruments,medium-hard,400,This music style is known for dance music made heavily with synthesizers and computers.,electronic dance music,electronic dance music,Music genre reference
MI_085,Music & Instruments,hard,500,"This music style is known for fast, raw rock style.",punk rock,punk rock,Music genre reference
MI_086,Music & Instruments,easy,100,The five-line system used to write music is called this.,staff,staff,Music theory reference
MI_087,Music & Instruments,easy-medium,200,This symbol raises a note by a half step.,sharp,sharp,Music theory reference
MI_088,Music & Instruments,medium,300,This symbol lowers a note by a half step.,flat,flat,Music theory reference
MI_089,Music & Instruments,medium-hard,400,This symbol cancels a sharp or flat.,natural,natural,Music theory reference
MI_090,Music & Instruments,hard,500,"In common time, this is the top number of the time signature.",4,4,Music theory reference
MI_091,Music & Instruments,easy,100,A scale with eight notes from one note to the next same-named note is this.,octave,octave,Music theory reference
MI_092,Music & Instruments,easy-medium,200,The distance between two musical pitches is called this.,interval,interval,Music theory reference
MI_093,Music & Instruments,medium,300,Three or more notes sounded together form this.,chord,chord,Music theory reference
MI_094,Music & Instruments,medium-hard,400,A repeated musical phrase is often called this.,riff,riff,Music theory reference
MI_095,Music & Instruments,hard,500,The words of a song are called these.,lyrics,lyrics,Music theory reference
MI_096,Music & Instruments,easy,100,The section of a song that repeats and usually has the main hook is this.,chorus,chorus,Music theory reference
MI_097,Music & Instruments,easy-medium,200,The section of a song with changing words between choruses is this.,verse,verse,Music theory reference
MI_098,Music & Instruments,medium,300,A short repeated musical idea is called this.,motif,motif,Music theory reference
MI_099,Music & Instruments,medium-hard,400,Music performed without instruments is called this.,a cappella,a cappella,Music theory reference
MI_100,Music & Instruments,hard,500,This device helps musicians keep a steady beat.,metronome,metronome,Music theory reference
AA_001,Art & Architecture,easy,100,This art or architecture term means artwork showing a person.,portrait,portrait,Art education reference
AA_002,Art & Architecture,easy-medium,200,This art or architecture term means artwork showing scenery.,landscape,landscape,Art education reference
AA_003,Art & Architecture,medium,300,This art or architecture term means artwork showing arranged objects.,still life,still life,Art education reference
AA_004,Art & Architecture,medium-hard,400,This art or architecture term means large artwork painted on a wall.,mural,mural,Art education reference
AA_005,Art & Architecture,hard,500,This art or architecture term means three-dimensional artwork.,sculpture,sculpture,Art education reference
AA_006,Art & Architecture,easy,100,This art or architecture term means image made from small pieces.,mosaic,mosaic,Art education reference
AA_007,Art & Architecture,easy-medium,200,This art or architecture term means painting on wet plaster.,fresco,fresco,Art education reference
AA_008,Art & Architecture,medium,300,This art or architecture term means decorative handwriting.,calligraphy,calligraphy,Art education reference
AA_009,Art & Architecture,medium-hard,400,This art or architecture term means technique for showing depth.,perspective,perspective,Art education reference
AA_010,Art & Architecture,hard,500,This art or architecture term means point where parallel lines appear to meet.,vanishing point,vanishing point,Art education reference
AA_011,Art & Architecture,easy,100,This art or architecture term means board or range of colors.,palette,palette,Art education reference
AA_012,Art & Architecture,easy-medium,200,This art or architecture term means fabric surface for painting.,canvas,canvas,Art education reference
AA_013,Art & Architecture,medium,300,This art or architecture term means stand that holds a canvas.,easel,easel,Art education reference
AA_014,Art & Architecture,medium-hard,400,This art or architecture term means black drawing material.,charcoal,charcoal,Art education reference
AA_015,Art & Architecture,hard,500,This art or architecture term means paint mixed with water.,watercolor,watercolor,Art education reference
AA_016,Art & Architecture,easy,100,This art or architecture term means paint using oil binder.,oil paint,oil paint,Art education reference
AA_017,Art & Architecture,easy-medium,200,This art or architecture term means material shaped for pottery.,clay,clay,Art education reference
AA_018,Art & Architecture,medium,300,This art or architecture term means oven used to fire ceramics.,kiln,kiln,Art education reference
AA_019,Art & Architecture,medium-hard,400,This art or architecture term means technical drawing for a building.,blueprint,blueprint,Art education reference
AA_020,Art & Architecture,hard,500,This art or architecture term means front face of a building.,facade,facade,Art education reference
AA_021,Art & Architecture,easy,100,This artist painted the Mona Lisa.,Leonardo da Vinci,Leonardo da Vinci,Art history reference
AA_022,Art & Architecture,easy-medium,200,This artist painted The Starry Night.,Vincent van Gogh,Vincent van Gogh,Art history reference
AA_023,Art & Architecture,medium,300,This artist painted the ceiling of the Sistine Chapel.,Michelangelo,Michelangelo,Art history reference
AA_024,Art & Architecture,medium-hard,400,This artist was known for melting clocks in The Persistence of Memory.,Salvador Dali,Salvador Dali,Art history reference
AA_025,Art & Architecture,hard,500,This artist co-founded Cubism with Georges Braque.,Pablo Picasso,Pablo Picasso,Art history reference
AA_026,Art & Architecture,easy,100,This Mexican artist painted many self-portraits.,Frida Kahlo,Frida Kahlo,Art history reference
AA_027,Art & Architecture,easy-medium,200,This artist painted water lilies in many works.,Claude Monet,Claude Monet,Art history reference
AA_028,Art & Architecture,medium,300,This artist painted Campbell's Soup Cans.,Andy Warhol,Andy Warhol,Art history reference
AA_029,Art & Architecture,medium-hard,400,This artist sculpted The Thinker.,Auguste Rodin,Auguste Rodin,Art history reference
AA_030,Art & Architecture,hard,500,This American architect designed Fallingwater.,Frank Lloyd Wright,Frank Lloyd Wright,Art history reference
AA_031,Art & Architecture,easy,100,This art movement or style is known for visible brushstrokes and changing light.,Impressionism,Impressionism,Art history reference
AA_032,Art & Architecture,easy-medium,200,This art movement or style is known for fragmented geometric forms.,Cubism,Cubism,Art history reference
AA_033,Art & Architecture,medium,300,This art movement or style is known for dreamlike and unexpected images.,Surrealism,Surrealism,Art history reference
AA_034,Art & Architecture,medium-hard,400,This art movement or style is known for popular consumer culture imagery.,Pop Art,Pop Art,Art history reference
AA_035,Art & Architecture,hard,500,This art movement or style is known for revived classical ideas and realistic perspective.,Renaissance,Renaissance,Art history reference
AA_036,Art & Architecture,easy,100,"This art movement or style is known for drama, movement, and rich detail.",Baroque,Baroque,Art history reference
AA_037,Art & Architecture,easy-medium,200,This art movement or style is known for pointed arches and tall cathedrals.,Gothic,Gothic,Art history reference
AA_038,Art & Architecture,medium,300,This art movement or style is known for geometric glamour of the early 20th century.,Art Deco,Art Deco,Art history reference
AA_039,Art & Architecture,medium-hard,400,This art movement or style is known for simplicity and reduced forms.,Minimalism,Minimalism,Art history reference
AA_040,Art & Architecture,hard,500,This art movement or style is known for large expressive nonrepresentational painting.,Abstract Expressionism,Abstract Expressionism,Art history reference
AA_041,Art & Architecture,easy,100,This building or landmark is located in Paris.,Eiffel Tower,Eiffel Tower,Architecture/landmark reference
AA_042,Art & Architecture,easy-medium,200,This building or landmark is located in Sydney.,Sydney Opera House,Sydney Opera House,Architecture/landmark reference
AA_043,Art & Architecture,medium,300,This building or landmark is located in Agra.,Taj Mahal,Taj Mahal,Architecture/landmark reference
AA_044,Art & Architecture,medium-hard,400,This building or landmark is located in Rome.,Colosseum,Colosseum,Architecture/landmark reference
AA_045,Art & Architecture,hard,500,This building or landmark is located in Athens.,Parthenon,Parthenon,Architecture/landmark reference
AA_046,Art & Architecture,easy,100,This building or landmark is located in Barcelona.,Sagrada Familia,Sagrada Familia,Architecture/landmark reference
AA_047,Art & Architecture,easy-medium,200,This building or landmark is located in Dubai.,Burj Khalifa,Burj Khalifa,Architecture/landmark reference
AA_048,Art & Architecture,medium,300,This building or landmark is located in Bilbao.,Guggenheim Museum Bilbao,Guggenheim Museum Bilbao,Architecture/landmark reference
AA_049,Art & Architecture,medium-hard,400,This building or landmark is located in Pennsylvania.,Fallingwater,Fallingwater,Architecture/landmark reference
AA_050,Art & Architecture,hard,500,This building or landmark is located in New York City.,Empire State Building,Empire State Building,Architecture/landmark reference
AA_051,Art & Architecture,easy,100,This building or landmark is located in Paris.,Notre-Dame Cathedral,Notre-Dame Cathedral,Architecture/landmark reference
AA_052,Art & Architecture,easy-medium,200,This building or landmark is located in Paris.,Louvre Pyramid,Louvre Pyramid,Architecture/landmark reference
